,Pays,dispo_quanti,dispo_calories,dispo_proteines,TDI (%),TAS (%),population_croissance,pib_croissance,stab_croissance,Population,Pib,Stab_politique
49,Géorgie,15.27,51.0,5.19,83.60655737704919,36.0655737704918,-3.795,45.211,-42.188,4008716.0,13589.7,-0.37
50,Honduras,21.73,93.0,6.98,5.853658536585367,94.14634146341463,20.753,10.983,27.273,9429013.0,5562.0,-0.56
51,Hongrie,25.27,104.0,9.8,21.804511278195488,185.33834586466165,-2.936,13.554,8.0,9729823.0,29501.1,0.81
52,Iran (République islamique d'),27.52,96.0,9.8,0.2702702702702703,97.92792792792793,13.089,20.209,-0.0,80673883.0,15883.4,-0.93
53,Iraq,14.95,52.0,5.37,83.03886925795054,16.96113074204947,34.544,21.926,-16.606,37552781.0,10526.4,-2.31
54,Irlande,25.82,100.0,11.6,77.34375,85.9375,9.912,39.462,-17.355,4753279.0,77749.2,1.0
55,Islande,29.95,104.0,12.33,20.0,100.0,9.571,6.737,-8.784,334393.0,55638.5,1.35
56,Israël,67.39,234.0,27.87,0.0,98.89937106918238,20.398,14.444,-28.8,8243848.0,39121.3,-0.89
57,Italie,18.88,65.0,7.83,8.269394714407502,112.10571184995737,3.278,-7.272,-31.111,60673701.0,41581.1,0.31
58,Jamaïque,51.1,178.0,15.71,20.394736842105264,84.21052631578947,5.513,-5.062,-224.0,2920848.0,9600.1,0.31
59,Jordanie,28.07,98.0,10.1,23.272727272727273,76.36363636363637,56.441,-12.432,50.0,9785843.0,10003.6,-0.45
